objectid,filename,format,display_template,object_location,title,eventtitle,eventtype,eventdate,eventlocation,eventcontributor,eventorganizer,postercreator,postertype,posterdescriptors,fileformat,filesize,digitizationdate,rightsinformation,rightsstatement
sqi_po_00201,sqi_po_00201.jpg,image/jpeg,image,,Sing to Me Through Open Windows by Arthur Kopit,Sing to Me Through Open Windows,One-Act Play,04-28; 04-29; 04-30,Performing Arts Building,"Kopit, Arthur, 1937-2021",Virginia Tech Theatre Arts,,Theatrical posters,Surrealist,jpeg,2.9 MB,,,
sqi_po_00202,sqi_po_00202.jpg,image/jpeg,image,,Ghost by Ibsen,Ghosts,Three-Act Play,07-22; 07-23; 07-24; 07-25; 07-26,,"Ibsen, Henrik, 1828-1906",,,Theatrical posters,Minimal; Silhouettes,jpeg,1.8 MB,,,
sqi_po_00203,sqi_po_00203.jpg,image/jpeg,image,,Last Chance Jazz Before Exams,Last Chance Jazz Before Exams,Jazz Concert,4/29/1998,Haymarket Theatre,"The University Jazz Ensemble; Marks, Dennis",Virginia Tech School of Arts and Music Department,,Concert posters,,jpeg,2.5 MB,,,
sqi_po_00204,sqi_po_00204.jpg,image/jpeg,image,,University Jazz Ensemble,University Jazz Ensemble,Jazz Concert,12/9/1998,Commonwealth Ballroom,"The University Jazz Ensemble; Gallio, Peter; Mooney, Noelle",Virginia Tech School of Arts and Music Department,,Concert posters,,jpeg,2.3 MB,,,
sqi_po_00205,sqi_po_00205.jpg,image/jpeg,image,,University Jazz Ensemble,University Jazz Ensemble,Jazz Concert,5/5/1999,Squires Haymarket Theatre,"The University Jazz Ensemble; Bickel, Doug",Virginia Tech School of Arts and Music Department,,Concert posters,,jpeg,2.9 MB,,,
sqi_po_00207,sqi_po_00207.jpg,image/jpeg,image,,"Otesha, Creative Arts Ensemble, African Dance Workshop (dancing, drumming, talk back)","Otesha, Creative Arts Ensemble, African Dance Workshop (dancing, drumming, talk back)",,28-Apr,"Brush Mountain, Squires Student Center",Otesha,Graduate Arts Council of Virginia Tech,,Dance posters,,jpeg,2.2 MB,,,
sqi_po_00206,sqi_po_00206.jpg,image/jpeg,image,,The New Virginians Fall Concert,The New Virginians Fall Concert,,11/7/1998,Haymarket Theatre,The New Virgnians,Virginia Tech School of Arts and Music Department,,Concert posters,,jpeg,3.2 MB,,,
sqi_po_00208,sqi_po_00208.jpg,image/jpeg,image,,"Spoke, a new play by Rob Laudenslager and directed by Joe Schumacher",Spoke,Play,03-22; 03-23; 03-24,Performing Arts Building,"Laudenslager, Rob; Schumacher, Joe",VTUT Workshop Prduction,,Theatrical posters,,jpeg,2.8 MB,,,
sqi_po_00209,sqi_po_00209.jpg,image/jpeg,image,,"Wish the Moon, Swallow the Whole Hot Sun","Wish the Moon, Swallow the Whole Hot Sun",,3/20/1999,Burrass Auditorium,"Rohd, Micahel; Pirandello, Luigi, 1867-1936",Virginia Tech School of Arts and Theatre Arts - University Theatre,,,,jpeg,2.1 MB,,,
sqi_po_00213,sqi_po_00213.jpg,image/jpeg,image,,"The University Jazz Ensemble, Professor Roger C. Heath, Conductor",The University Jazz Ensemble,,11-17; 11-22,Squires Large Ballroom,"The University Jazz Ensemble; Heath, Roger C.",Music Virginia Tech; Performing Arts and Communication,,Concert posters,,jpeg,1.9 MB,,,
sqi_po_00212,sqi_po_00212.jpg,image/jpeg,image,,Two Sides of Moliere: Love's the Best Doctor and the Imaginary Cuckhold,Two Sides of Moliere: Love's the Best Doctor and the Imaginary Cuckhold,,11-07; 11-08; 11-09; 11-10; 11-11; 11-12; 11-13; 11-14,Squires Studio Theatre,"Moliere, Richard Wilbur",Virginia Tech Theatre Arts - University Theatre,,,,jpeg,2.2 MB,,,
sqi_po_00210,sqi_po_00210.jpg,image/jpeg,image,,"Closer, a play by Patrick Marber, directed by Adam Breske",Closer,Play,07-06; 07-07; 07-08,Performing Arts Building,"Marber, Patrick; Breske, Adam",Virginia Tech's Deaprtment of Theatre Arts,,Theatrical posters,,jpeg,3.2 MB,,,
sqi_po_00214,sqi_po_00214.jpg,image/jpeg,image,,The Tempest by William Shakespeare,The Tempest,Shakespearean Play; Five-Act Play,1996-11-07; 1996-11-08; 1996-11-09; 1996-11-10; 1996-11-07; 1996-11-12; 1996-11-13; 1996-11-14; 1996-11-15; 1996-11-16;,Squires Studio Theatre,"Shakespeare, William, 1564-1616; Rivkin, Gigi",Virginia Tech School of Arts and Theatre Arts - University Theatre,,Theatrical posters,,jpeg,2.9 MB,,,
sqi_po_00215,sqi_po_00215.jpg,image/jpeg,image,,George C. Wolfe's The Colored Museum,The Colored Museum,One-Act Play,11-09; 11-10; 11-11; 11-12; 11-13,Haymarket Theatre,"Wolf, George C.",Virginia Tech Theatre Arts - University Theatre,,Theatrical posters,,jpeg,3.5 MB,,,
sqi_po_00217,sqi_po_00217.jpg,image/jpeg,image,,"New River Valley Symphony, Berlioz Symphonie Fantastique","New River Valley Symphony, Berlioz Symphonie Fantastique",Sympony,11/7/1997,Burrass Auditorium,New River Valley Symphony,Virginia Tech School of Arts and Department of Music,,Concert posters,,jpeg,2.6 MB,,,
